Country,Gender,00-02 years,03-05 years,06-08 years,09-11 years,12-14 years,15-17 years,18-20 years,21-23 years,24-26 years,27-29 years,30 or more years
USA,Female,65000,75000,90000,90000,105000,102000,115500,115000,105000,115000,95500
USA,Male,60000,73500,85000,100000,108000,120000,120000,126000,130500,130000,130000
Australia,Female,47984,55981,67977,71976,60780,107964,58540.5,87971,95968,,911700
Australia,Male,53200,53582,63979,75975,88371,95968,95968,95968,94369,99967,111963
Germany,Female,29007,48955,56787,61194,72821,73433,67313,50179,,,134626.5
Germany,Male,17381,42588,51408,61194,68537,73433,78328,79552,79552,91791,88116
India,Female,3931,7483,9396,16050.5,36005,46963,18780,,,,
India,Male,3835.5,7827,12524,18780,30684.5,37571.5,39136,21529.5,25986.5,70442.5,62618
Russian Federation,Female,10620,13800,16980,19638,25476,31848,21186,,21228,,
Russian Federation,Male,10620,14754,19104,28128,29862,29724,31848,27600,36084,38208,62439
UK,Female,41671,44796.5,44449,54173,57645,75008,69336,156250,76050,,78480.5
UK,Male,38199,41671,52783,62507,69452,76397,83342,83342,84036.5,66674,83342
